Team,Player,PPG,APG,Conf
Little Rock,Terrion Burgess,7.5,1.2,OVC
Morehead State,Anouar Mellouk,7.4,0.9,OVC
Western Illinois,Francis Okwuosah,7.3,0.5,OVC
SIU Edwardsville,Darrion Baker,7.2,0.7,OVC
UT Martin,Pedro Santos,7.1,0.7,OVC
Eastern Illinois,Terry McMorris,7.0,1.4,OVC
Southern Indiana,Tolu Samuels,7.0,1.3,OVC
Tennessee Tech,Ja'Quavian Florence,7.0,1.5,OVC
Lindenwood,Clayton Jackson,6.9,2.8,OVC
SIU Edwardsville,Kyle Thomas,6.7,0.4,OVC
Tennessee State,Jalen Pitre,6.7,0.9,OVC
Lindenwood,Mekhi Cooper,6.6,4.1,OVC
UT Martin,Afan Trnka,6.6,2.5,OVC
Tennessee Tech,Ty Owens,6.6,3.8,OVC
Little Rock,Truman Claytor IV,6.5,0.7,OVC
Southern Indiana,Ola Ajiboye,6.4,0.8,OVC
Tennessee State,Khalil London,6.4,1.1,OVC
SIU Edwardsville,Jo Valrie,6.1,0.5,OVC
Morehead State,Tamaury Releford,5.9,0.2,OVC
Lindenwood,Jeremiah Talton,5.4,0.5,OVC
UT Martin,Filip Petkovski,5.4,2.7,OVC
Tennessee State,Carlous Williams,5.4,0.6,OVC
Southeast Missouri State,Landren Blocker,5.3,0.6,OVC
Tennessee Tech,Malik Ferguson,5.3,1.0,OVC
Lindenwood,Robert Lewis,5.2,0.4,OVC
SIU Edwardsville,CJ Hall,5.0,1.7,OVC
UT Martin,Damien King,5.0,1.2,OVC
Western Illinois,Makai Kvamme,5.0,2.7,OVC
SIU Edwardsville,Jordan Pickett,4.9,1.3,OVC
Eastern Illinois,Markus Blackwell,4.7,0.9,OVC
Tennessee Tech,C.J. McPherson,4.7,0.5,OVC
Southern Indiana,Josiah Dunham,4.6,0.7,OVC
Western Illinois,Danny Stephens,4.6,0.4,OVC
Morehead State,Clayton Parker,4.3,1.1,OVC
Eastern Illinois,Nazareth Fisher,4.2,0.4,OVC
Morehead State,Tyonne Farrell,4.2,1.1,OVC
Southern Indiana,Steven Clay,4.2,0.5,OVC
Western Illinois,Tyran Cook,4.2,1.2,OVC
Southern Indiana,Sheridan Sharp,4.1,2.4,OVC
Tennessee Tech,Mekhi Turner,4.1,0.4,OVC
Western Illinois,Goanar Biliew,4.1,0.2,OVC
Eastern Illinois,Malik Olafioye,3.9,1.3,OVC
UT Martin,AJ Hopkins,3.9,0.4,OVC
Morehead State,Vince Dawson III,3.8,0.4,OVC
Southeast Missouri State,Troy Cole Jr.,3.7,0.5,OVC
SIU Edwardsville,Harrison Alexander,3.7,0.4,OVC
SIU Edwardsville,Darius Robinson Jr.,3.6,0.8,OVC
UT Martin,Luca Colceag,3.4,0.7,OVC
Tennessee Tech,Grant Slatten,3.3,0.8,OVC
Western Illinois,Marcus Pigram,3.3,0.6,OVC
SIU Edwardsville,Iwo Baganc,3.1,0.1,OVC
UT Martin,Lamine Niang,3.1,0.4,OVC
Tennessee Tech,Jacobe Whitted,3.1,0.8,OVC
Tennessee State,Jabrion Spikes,3.0,0.3,OVC
Tennessee Tech,Jah'Kim Payne,3.0,1.3,OVC
Eastern Illinois,Andrew Austin,2.8,1.0,OVC
Tennessee State,Kavien Jones,2.7,0.1,OVC
Southeast Missouri State,Elliot Lowndes,2.6,0.2,OVC
Morehead State,Jace Winkleman,2.5,0.0,OVC
UT Martin,Vladimir Khryapa,2.5,0.9,OVC
UT Martin,Ty Price,2.4,0.3,OVC
Little Rock,Caleb Pennyfeather,2.3,0.4,OVC
Lindenwood,Jaylon McDaniel,2.3,0.7,OVC
Southern Indiana,Braxton Jones,2.3,0.5,OVC
UT Martin,Ama Sow,2.3,0.2,OVC
Southern Indiana,Devin Curtis,2.2,0.2,OVC
Little Rock,Joseph Thomas,2.1,0.3,OVC
Southeast Missouri State,PJ Farmer,2.1,1.1,OVC
Southern Indiana,Ben Ezeagu,2.1,0.0,OVC
Western Illinois,Ifiok Peter,2.1,0.0,OVC
Eastern Illinois,Prince Johnson,2.0,0.1,OVC
Southeast Missouri State,David Idada,2.0,0.3,OVC
Lindenwood,Tidiane d'Almeida,1.9,1.0,OVC
Lindenwood,William Campbell,1.8,0.4,OVC
Southern Indiana,Alem Fejzic,1.8,0.2,OVC
Tennessee State,Damon Howard Jr.,1.8,0.9,OVC
Tennessee State,Jayden Jones,1.8,0.0,OVC
Lindenwood,Kevin Anthony,1.7,0.1,OVC
Tennessee State,JC Brooks,1.7,0.3,OVC
Southeast Missouri State,Blaize Sagna,1.5,0.4,OVC
SIU Edwardsville,Corentin Efono,1.4,0.8,OVC
Western Illinois,Nick Hittle,1.4,0.1,OVC
Western Illinois,Steven Tipton,1.4,0.2,OVC
Little Rock,Tracy Steele Jr.,1.3,0.5,OVC
Southeast Missouri State,Jay Reynolds,1.3,0.1,OVC
Tennessee State,Alex Garcia,1.0,0.0,OVC
Tennessee State,Jean Yvens Lafleur,1.0,0.0,OVC
Tennessee Tech,Colin Ayers,1.0,0.3,OVC
Tennessee Tech,Owen Varnado,1.0,0.7,OVC
Little Rock,Christian Hughes,0.9,0.6,OVC
Southeast Missouri State,Trace Sadler,0.9,0.0,OVC
Tennessee Tech,Hagan Preston,0.8,0.0,OVC
Lindenwood,Todd Bieg,0.6,0.1,OVC
Southern Indiana,Cayden Gehlhausen,0.4,0.0,OVC
Morehead State,Jacob Wilson,0.0,0.0,OVC
Western Illinois,Jake Edwards,0.0,0.1,OVC
Lehigh,Nasir Whitlock,20.4,3.0,PATRIOT
Navy,Austin Benigni,18.2,4.2,PATRIOT
Colgate,Jalen Cox,17.6,5.1,PATRIOT
Boston University,Michael McNair,16.9,2.2,PATRIOT
Lafayette,Caleb Williams,15.9,3.2,PATRIOT
Bucknell,Amon DÃ¶rries,15.7,1.3,PATRIOT
Navy,Aidan Kehoe,15.3,2.3,PATRIOT
Loyola (MD),Braeden Speed,15.2,3.7,PATRIOT
Boston University,Ben Defty,14.8,1.9,PATRIOT
Colgate,Andrew Alekseyenko,14.7,2.5,PATRIOT
Lehigh,Hank Alvey,14.3,1.9,PATRIOT
Loyola (MD),Emmett Adair,14.1,1.0,PATRIOT
Lafayette,Andrew Phillips,14.0,1.4,PATRIOT
Loyola (MD),Jacob Theodosiou,13.9,3.0,PATRIOT
Boston University,Chance Gladden,13.8,4.8,PATRIOT
Holy Cross,Tyler Boston,13.8,3.3,PATRIOT
Army,Ryan Curry,13.5,4.6,PATRIOT
American,Madden Collins,13.4,2.1,PATRIOT
American,Greg Jones,12.5,2.0,PATRIOT
Colgate,Sam Wright,12.3,0.8,PATRIOT
Bucknell,Pat Curtin,12.0,1.5,PATRIOT
Bucknell,Achile Spadone,11.9,1.9,PATRIOT
Army,Jaxson Bell,11.8,1.5,PATRIOT
Bucknell,Ruot Bijiek,11.8,0.8,PATRIOT
Holy Cross,Joe Nugent,11.8,0.7,PATRIOT
Holy Cross,Gabe Warren,11.6,1.5,PATRIOT
Holy Cross,Aiden Disu,10.7,0.8,PATRIOT
Lehigh,Edouard Benoit,10.6,1.1,PATRIOT
Army,Jacen Holloway,10.5,2.1,PATRIOT
Lehigh,Joshua Ingram,10.3,3.3,PATRIOT
American,Julen Iturbe,10.2,2.3,PATRIOT
Lafayette,Mark Butler,10.2,4.0,PATRIOT
Navy,Jinwoo Kim,10.0,1.7,PATRIOT
Lafayette,Shareef Jackson,9.9,1.5,PATRIOT
Loyola (MD),Jordan Stiemke,9.7,1.5,PATRIOT
Boston University,Sam Hughes,9.6,1.4,PATRIOT
American,Geoff Sprouse,9.4,1.9,PATRIOT
Army,Jackson Furman,9.4,1.4,PATRIOT
Navy,Donovan Draper,9.0,2.6,PATRIOT
Colgate,Ben Tweedy,8.9,2.6,PATRIOT
Boston University,Azmar Abdullah,8.8,1.5,PATRIOT
American,Matt Mayock,8.5,1.7,PATRIOT
American,Wyatt Nausadis,8.0,1.8,PATRIOT
Bucknell,Jayden Williams,8.0,4.0,PATRIOT
Lafayette,Christian Humphrey-Rembert,8.0,0.5,PATRIOT
Holy Cross,DeAndre Williams,7.9,1.9,PATRIOT
Army,Jorn Everson,7.8,0.9,PATRIOT
Army,Kevin McCarthy,7.8,1.2,PATRIOT
Colgate,Josh Ahayere,7.8,1.3,PATRIOT
Colgate,Kyle Carlesimo,7.8,0.9,PATRIOT
Lehigh,Andrew Urosevic,7.8,0.8,PATRIOT
Boston University,Andrew Bhesania,7.7,0.0,PATRIOT
Bucknell,Brandon McCreesh,7.4,1.6,PATRIOT
American,Carson McDonald,7.3,0.3,PATRIOT
Navy,Jordan Pennick,6.9,1.4,PATRIOT
Boston University,Ben Roy,6.6,2.5,PATRIOT
Loyola (MD),Jonas Sirtautas,6.5,0.6,PATRIOT
Navy,Mike Woods,6.5,1.7,PATRIOT
Boston University,Donte Tisinger Jr.,6.3,1.8,PATRIOT
Loyola (MD),Troy Cicero Jr.,5.9,0.7,PATRIOT
Bucknell,Aleksander Pachucki,5.6,0.7,PATRIOT
Navy,Cam Cole,5.5,1.7,PATRIOT
American,Kade Sebastian,5.4,1.3,PATRIOT
Holy Cross,Aidan Richard,5.4,0.9,PATRIOT
Army,Tate Laczkowski,5.3,1.9,PATRIOT
Lehigh,Caleb Thomas,5.2,2.1,PATRIOT
Lafayette,Ryan Pettit,5.1,1.5,PATRIOT
Holy Cross,Declan Ryan,5.0,0.7,PATRIOT
Boston University,Malcolm Chimezie,4.9,1.0,PATRIOT
Loyola (MD),Sam Springer,4.9,0.6,PATRIOT
Holy Cross,John St. Germain III,4.7,1.0,PATRIOT
Colgate,Brady Cummins,4.5,0.8,PATRIOT
Lehigh,Peter Kramer,4.5,0.7,PATRIOT
Army,Joshua Eli,4.4,0.9,PATRIOT
Boston University,Ethan Okwuosa,4.4,1.0,PATRIOT
Bucknell,Grgur Brcic,4.3,0.4,PATRIOT
American,Chris Eagan,4.2,0.1,PATRIOT
Lehigh,Jalen Vazquez,3.8,2.0,PATRIOT
Loyola (MD),Tyson Commander,3.8,1.0,PATRIOT
Bucknell,Quin Berger,3.3,0.8,PATRIOT
Loyola (MD),Sebastien Emenalo,3.3,0.4,PATRIOT
Loyola (MD),Carter Berg-McLean,3.2,1.6,PATRIOT
Holy Cross,Will Aljancic,3.1,0.3,PATRIOT
Lafayette,Luke Bevilacqua,2.8,0.5,PATRIOT
American,Dean Hogans,2.6,0.2,PATRIOT
Lafayette,KaiMani Murdock,2.5,0.4,PATRIOT
Bucknell,Josh Fulton,2.3,1.3,PATRIOT
Colgate,Eyilayomi Odetoyinbo,2.3,0.3,PATRIOT
Holy Cross,Chuck Hare,2.3,0.1,PATRIOT
Bucknell,Patrick O'Brien,2.2,0.1,PATRIOT
Lehigh,Alfredo Addesa,2.2,0.4,PATRIOT
Colgate,Jonathan Niv,2.1,0.0,PATRIOT
Army,Dylan Benner,1.8,0.3,PATRIOT
Colgate,Cooper Wright,1.8,0.7,PATRIOT
Holy Cross,Jude Haigh,1.8,0.3,PATRIOT
Army,Jackson Mayo,1.7,0.4,PATRIOT
Bucknell,Jacob Meachem,1.7,1.6,PATRIOT
Loyola (MD),Everett Barnes,1.6,0.3,PATRIOT
Navy,David Burnett,1.6,0.5,PATRIOT
Navy,Julian Gabbidon,1.6,0.0,PATRIOT
Boston University,Quinn Nielsen,1.5,0.1,PATRIOT
Colgate,Ethan Brown,1.5,0.1,PATRIOT
Navy,Nyles Howard,1.5,0.6,PATRIOT
Lafayette,Folabomi Fayemi,1.3,0.0,PATRIOT
Lafayette,Malik Rasul,1.3,0.3,PATRIOT
Lafayette,Mike Bednostin,1.3,0.7,PATRIOT
Lehigh,Jake Pike,1.3,0.2,PATRIOT
American,Luke Brown,1.1,0.4,PATRIOT
Army,Brendon O'Keefe,1.1,0.4,PATRIOT
Army,Dillon Watt,1.1,0.3,PATRIOT
Colgate,Charles Pugh,1.1,0.4,PATRIOT
Navy,Cooper Jackson,1.1,0.1,PATRIOT
Navy,Jerry Ashley Jr.,1.1,0.0,PATRIOT
Army,Jahaan Green,1.0,0.2,PATRIOT
Boston University,Kyrone Alexander,1.0,0.0,PATRIOT
Navy,Cam Cormany,1.0,0.1,PATRIOT
Colgate,Cameron Brennan,0.9,0.3,PATRIOT
Loyola (MD),Garrett Brennan,0.9,0.4,PATRIOT
Army,Alex Engro,0.8,0.3,PATRIOT
Navy,Sam Krist,0.8,0.1,PATRIOT
Army,Dayon Polk,0.7,0.6,PATRIOT
Lafayette,Luke Azzinaro,0.7,0.0,PATRIOT
Loyola (MD),Ben Menker,0.7,0.1,PATRIOT
American,Matthew Casey,0.6,0.1,PATRIOT
Army,Dylan Murans,0.6,0.0,PATRIOT
Holy Cross,Jaden Kirkwood,0.6,0.5,PATRIOT
Holy Cross,Tim Finau,0.6,0.0,PATRIOT
Lafayette,Ashton Wallace,0.6,0.3,PATRIOT
Lafayette,Joshua Wyche,0.6,0.3,PATRIOT
Bucknell,Matt Lange,0.5,0.0,PATRIOT
Lehigh,Henri Adiassa,0.5,0.1,PATRIOT
Navy,Matt Gaffney,0.5,0.3,PATRIOT
Navy,Owen Gray,0.5,0.0,PATRIOT
Boston University,Peter Carr,0.4,0.2,PATRIOT
American,Jack Anderson,0.3,0.0,PATRIOT
Bucknell,Kellen Welch,0.3,0.1,PATRIOT
Lehigh,Tommy Conniff,0.3,0.3,PATRIOT
Loyola (MD),Peter Sposito,0.3,0.0,PATRIOT
Army,Chanse Perkins,0.0,0.0,PATRIOT
Army,Nnaemeka Ikechi,0.0,0.7,PATRIOT
Holy Cross,Austin Mejia,0.0,0.1,PATRIOT
Holy Cross,Ben Capron,0.0,0.0,PATRIOT
Holy Cross,Ethan Clark,0.0,0.0,PATRIOT
Lehigh,Brendan Reed,0.0,0.0,PATRIOT
Navy,Tobi Raji,0.0,0.0,PATRIOT
Samford,Jadin Booth,20.5,2.3,SOUTHERN
Mercer,Baraka Okojie,19.7,5.3,SOUTHERN
Wofford,Kahmare Holmes,19.1,2.7,SOUTHERN
VMI,TJ Johnson,18.3,1.4,SOUTHERN
UNC Greensboro,Justin Neely,18.2,2.6,SOUTHERN
Samford,Dylan Faulkner,17.8,1.8,SOUTHERN
Furman,Alex Wilkins,17.4,5.0,SOUTHERN
Wofford,Nils Machowski,16.6,2.7,SOUTHERN
Chattanooga,Jordan Frison,15.9,3.9,SOUTHERN
UNC Greensboro,KJ Younger,14.7,1.1,SOUTHERN
East Tennessee State,Brian Taylor,14.5,2.9,SOUTHERN
The Citadel,Braxton Williams,14.3,1.5,SOUTHERN
East Tennessee State,Cam Morris III,14.3,1.6,SOUTHERN
East Tennessee State,Blake Barkley,14.1,1.2,SOUTHERN
Western Carolina,Cord Stansberry,14.0,2.1,SOUTHERN
Furman,Asa Thomas,13.6,2.1,SOUTHERN
Mercer,Armani Mighty,13.6,1.1,SOUTHERN
Western Carolina,Marcus Kell,13.6,1.0,SOUTHERN
Furman,Cooper Bowser,13.5,1.8,SOUTHERN
Mercer,Zaire Williams,12.6,1.5,SOUTHERN
Western Carolina,Julien Soumaoro,12.2,2.3,SOUTHERN
The Citadel,Christian Moore,11.4,0.9,SOUTHERN
VMI,Linus Holmstrom,10.9,1.7,SOUTHERN
Wofford,Cayden Vasko,10.6,4.0,SOUTHERN
UNC Greensboro,Donald Whitehead Jr.,10.4,2.5,SOUTHERN
Furman,Charles Johnston,10.3,1.8,SOUTHERN
Chattanooga,Brennan Watkins,10.2,1.7,SOUTHERN
VMI,Tan Yildizoglu,10.1,4.7,SOUTHERN
Samford,Keaton Norris,10.0,4.8,SOUTHERN
Chattanooga,Tate Darner,9.8,1.7,SOUTHERN
Wofford,Chace Watley,9.7,1.4,SOUTHERN
Mercer,Brady Shoulders,9.3,1.9,SOUTHERN
Chattanooga,Tedrick Washington,9.0,1.5,SOUTHERN
UNC Greensboro,Lilian Marville,9.0,2.0,SOUTHERN
Samford,Cade Norris,9.0,2.1,SOUTHERN
East Tennessee State,Jaylen Smith,8.9,3.0,SOUTHERN
Mercer,Quinton Perkins II,8.8,1.7,SOUTHERN
VMI,Mario Tatum Jr.,8.8,1.3,SOUTHERN
The Citadel,Carter Kingsbury,8.4,2.1,SOUTHERN
The Citadel,Sola Adebisi,8.3,1.4,SOUTHERN
East Tennessee State,Jordan McCullum,8.3,0.8,SOUTHERN
Chattanooga,Billy Smith,8.2,1.2,SOUTHERN
Western Carolina,Tidjiane Dioumassi,8.1,2.8,SOUTHERN
Furman,Tom House,7.9,1.7,SOUTHERN
Furman,Ben VanderWal,7.8,2.3,SOUTHERN
UNC Greensboro,Noah Norgaard,7.6,1.6,SOUTHERN
Western Carolina,Tahlan Pettway,7.6,2.3,SOUTHERN
Mercer,Kyle Cuffe Jr.,7.4,0.4,SOUTHERN
Samford,Isaiah Campbell-Finch,7.4,1.3,SOUTHERN
UNC Greensboro,Valentino Pinedo,7.3,1.3,SOUTHERN
Chattanooga,Collin Mulholland,7.1,1.6,SOUTHERN
Western Carolina,Justin Johnson,7.1,0.9,SOUTHERN
Chattanooga,Sebastian Hartmann,7.0,1.0,SOUTHERN
Chattanooga,Jikari Johnson,6.9,0.8,SOUTHERN
Wofford,Brian Sumpter,6.9,0.8,SOUTHERN
VMI,Alexander Daushvili,6.8,1.0,SOUTHERN
VMI,Jaylen Pazon,6.7,0.7,SOUTHERN
The Citadel,Logan Applegate,6.6,1.0,SOUTHERN
VMI,AJ Clark,6.6,1.6,SOUTHERN
Western Carolina,Samuel Dada,6.6,0.7,SOUTHERN
Mercer,Connor Serven,6.5,1.1,SOUTHERN
East Tennessee State,Brayden Crump,6.4,0.5,SOUTHERN
VMI,Walker Andrews,6.3,0.7,SOUTHERN
Western Carolina,CJ Hyland,6.2,1.2,SOUTHERN
Wofford,Luke Flynn,6.0,1.3,SOUTHERN
The Citadel,Eze Wali,5.8,2.3,SOUTHERN
East Tennessee State,Maki Johnson,5.8,0.9,SOUTHERN
Samford,Zach Lamey,5.8,0.0,SOUTHERN
Samford,Kam Martin,5.6,0.9,SOUTHERN
Wofford,Jayden Tyler,5.6,0.5,SOUTHERN
Furman,Abijah Franklin,5.2,0.9,SOUTHERN
Furman,Cole Bowser,5.1,0.7,SOUTHERN
Furman,Eddrin Bronson,5.1,1.2,SOUTHERN
VMI,Cal Liston,5.0,0.9,SOUTHERN
Western Carolina,Adbulai Fanta Kabba,4.9,0.4,SOUTHERN
Wofford,Rex Stirling,4.9,0.9,SOUTHERN
Chattanooga,Latif Diouf,4.8,1.8,SOUTHERN
Samford,Zion Willburn,4.8,0.9,SOUTHERN
The Citadel,Marcos Gonzales,4.7,1.6,SOUTHERN
East Tennessee State,Milton Matthews,4.6,0.6,SOUTHERN
UNC Greensboro,Clinton Efinda,4.5,0.7,SOUTHERN
Wofford,Brendan Rigsbee,4.3,0.8,SOUTHERN
Chattanooga,Sean Cusano,4.2,1.0,SOUTHERN
East Tennessee State,Allen Strothers,4.2,3.1,SOUTHERN
Mercer,Tristan Gross,4.2,0.7,SOUTHERN
The Citadel,Keynan Davis,4.1,1.0,SOUTHERN
VMI,Kaden Stuckey,3.8,0.6,SOUTHERN
Mercer,Jaydon Cole,3.6,1.3,SOUTHERN
East Tennessee State,Gabe Sisk,3.5,0.7,SOUTHERN
Chattanooga,Josh Bowman,3.4,0.9,SOUTHERN
The Citadel,Dante Kearse,3.4,0.6,SOUTHERN
Mercer,Bendji Pierre,3.4,0.2,SOUTHERN
UNC Greensboro,Antwann Jones,3.4,0.4,SOUTHERN
Chattanooga,Makai Richards,3.3,0.9,SOUTHERN
East Tennessee State,Isaiah Sutherland,3.3,0.2,SOUTHERN
Wofford,Maximo Ortega,3.3,0.5,SOUTHERN
Samford,Jaxon Pollard,3.2,0.6,SOUTHERN
Furman,Mason Smith,3.0,0.1,SOUTHERN
Mercer,Braeden Carlsen,3.0,0.5,SOUTHERN
Wofford,Cannon Richards,3.0,0.5,SOUTHERN
Furman,Collin O'Neal,2.9,0.5,SOUTHERN
UNC Greensboro,Domas Kauzonas,2.9,0.3,SOUTHERN
Samford,Will Shaver,2.7,0.8,SOUTHERN
UNC Greensboro,Landon King,2.6,0.7,SOUTHERN
VMI,Branford Edmonds III,2.6,0.0,SOUTHERN
Chattanooga,Ryan Lopez,2.4,0.3,SOUTHERN
The Citadel,Cassius Bonjasky,2.3,0.1,SOUTHERN
UNC Greensboro,Assane Mandian,2.3,0.2,SOUTHERN
Samford,Judson Bjornstad,2.3,0.3,SOUTHERN
Wofford,Callum Richard,2.3,0.4,SOUTHERN
Western Carolina,Drew Hollifield,2.2,0.0,SOUTHERN
Western Carolina,Fischer Brown,2.2,0.4,SOUTHERN
Chattanooga,Houston Holland,2.1,0.6,SOUTHERN
UNC Greensboro,Clyde Bailey II,2.1,0.5,SOUTHERN
The Citadel,Gabe Hernandez,2.0,0.6,SOUTHERN
The Citadel,Simeon German,2.0,0.3,SOUTHERN
VMI,Mason Hagedorn,2.0,0.1,SOUTHERN
Western Carolina,Chase McKey,2.0,0.3,SOUTHERN
The Citadel,Rowan Irelan,1.8,0.0,SOUTHERN
Furman,Gunnar Lewis,1.7,0.0,SOUTHERN
Furman,Owen Ritger,1.7,0.4,SOUTHERN
Samford,Caleb Harrison,1.7,0.8,SOUTHERN
Mercer,Alex Koch,1.6,0.2,SOUTHERN
UNC Greensboro,Braylen Bowman,1.6,1.2,SOUTHERN
UNC Greensboro,Chane Bynum,1.6,0.2,SOUTHERN
Western Carolina,Tayeshaun Smith,1.6,0.3,SOUTHERN
Mercer,Pero Zubac,1.4,0.3,SOUTHERN
Chattanooga,Parker Robison,1.3,0.8,SOUTHERN
Western Carolina,Vernon Collins,1.2,0.2,SOUTHERN
East Tennessee State,Henry Sisemore,1.1,0.3,SOUTHERN
Mercer,TJ Grant,1.1,1.4,SOUTHERN
Samford,Corey Brown,1.0,1.0,SOUTHERN
Furman,Thomas Tillman,0.8,0.0,SOUTHERN
VMI,Mason Lawson,0.8,0.0,SOUTHERN
The Citadel,Logan Menefee,0.6,0.0,SOUTHERN
Wofford,Davis Miller,0.5,0.0,SOUTHERN
The Citadel,Chase Williams,0.2,0.4,SOUTHERN
The Citadel,Aidan Alexander,0.0,0.0,SOUTHERN
The Citadel,Jack Walter,0.0,0.0,SOUTHERN
The Citadel,Jameson Heck,0.0,0.3,SOUTHERN
East Tennessee State,Joseph Carter,0.0,0.2,SOUTHERN
Western Carolina,Max Williams,0.0,0.0,SOUTHERN
Wofford,Grayson Collins,0.0,0.1,SOUTHERN
Jackson State,Daeshun Ruffin,23.6,5.6,SWAC
Mississippi Valley State,Michael James,21.6,2.5,SWAC
Prairie View A&M,Tai'reon Joseph,20.6,1.0,SWAC
Prairie View A&M,Dontae Horne,19.6,2.8,SWAC
Bethune-Cookman,Jakobi Heady,18.1,1.8,SWAC
Southern,Michael Jacobs,17.8,5.2,SWAC
ArkansasâPine Bluff,Quion Williams,17.6,5.6,SWAC
ArkansasâPine Bluff,Jaquan Scott,15.6,1.1,SWAC
Alabama A&M,Kintavious Dozier,15.3,2.1,SWAC
Alabama State,Asjon Anderson,15.3,3.5,SWAC
Texas Southern,Troy Hupstead,14.6,1.1,SWAC
Alabama A&M,Koron Davis,14.2,0.8,SWAC
Jackson State,Jayme Mitchell,14.2,0.9,SWAC
Alabama State,Micah Simpson,13.7,3.6,SWAC
Mississippi Valley State,Daniel Mayfield,13.6,1.4,SWAC
Grambling State,Antonio Munoz,13.0,2.2,SWAC
Prairie View A&M,Cory Wells,12.9,2.3,SWAC
Bethune-Cookman,Doctor Bradley,11.9,2.8,SWAC
Bethune-Cookman,Daniel Rouzan,11.8,1.3,SWAC
Florida A&M,Tyler Shirley,11.8,2.0,SWAC
Jackson State,Dorian McMillian,11.8,1.4,SWAC
Alcorn State,Shane Lancaster,11.7,2.0,SWAC
ArkansasâPine Bluff,Alex Mirhosseini,11.4,2.6,SWAC
Bethune-Cookman,Arterio Morris,11.4,2.8,SWAC
Alcorn State,Tycen McDaniels,11.3,1.0,SWAC
Florida A&M,Jaquan Sanders,11.3,3.8,SWAC
Grambling State,Jamil Muttilib,11.3,0.5,SWAC
Alabama A&M,Sami Pissis,11.1,3.8,SWAC
Southern,Malek Abdelgowad,11.1,0.6,SWAC
ArkansasâPine Bluff,Milhan Charles,11.0,1.5,SWAC
Grambling State,Roderick Coffee III,11.0,4.3,SWAC
Texas Southern,Bryce Roberts,11.0,1.9,SWAC
Grambling State,Derrius Ward,10.7,2.1,SWAC
Southern,DaMariee Jones,10.4,1.2,SWAC
Alabama State,Tyler Byrd,10.3,1.1,SWAC
Alcorn State,Jameel Morris,10.3,3.0,SWAC
Bethune-Cookman,Quentin Heady,10.2,1.2,SWAC
Florida A&M,Micah Octave,10.2,1.8,SWAC
Alabama A&M,James Graham III,10.0,0.7,SWAC
ArkansasâPine Bluff,Trevon Payton,10.0,2.9,SWAC
Texas Southern,Alex Anderson,10.0,1.9,SWAC
Florida A&M,Jordan Chatman,9.7,1.1,SWAC
Prairie View A&M,Lance Williams,9.5,3.1,SWAC
Florida A&M,Antonio Baker,9.4,1.9,SWAC
Mississippi Valley State,Xzayvion Childress,9.4,2.4,SWAC
Texas Southern,Jaylen Wysinger,9.4,2.0,SWAC
Texas Southern,Zaire Hayes,9.4,1.1,SWAC
Prairie View A&M,Doug Young,9.3,1.7,SWAC
Southern,Fazl Oshodi,9.3,0.8,SWAC
Prairie View A&M,Joey Madimba,9.2,0.6,SWAC
Grambling State,Jimel Lane,9.1,1.0,SWAC
Alcorn State,Nick Woodard,8.9,1.5,SWAC
Southern,Cam Amboree,8.9,3.4,SWAC
Alcorn State,Davian Williams,8.5,1.4,SWAC
Alabama State,Jerquarius Stanback,8.4,0.7,SWAC
Mississippi Valley State,Lamont Sams,8.4,1.1,SWAC
Southern,Terrance Dixon Jr.,8.4,0.3,SWAC
Texas Southern,Duane Posey,8.4,0.5,SWAC
Florida A&M,Kaleb Washington,8.2,1.5,SWAC
Mississippi Valley State,Patrick Punch,8.0,1.7,SWAC
Southern,AJ Barnes,8.0,1.6,SWAC
Florida A&M,Devere Palmer,7.8,1.0,SWAC
Texas Southern,Cameron Patterson,7.8,1.0,SWAC
Texas Southern,Zytarious Mortle,7.8,1.7,SWAC
Alabama A&M,P.J. Eason,7.6,1.0,SWAC
Florida A&M,Miles Ndalama,7.6,0.9,SWAC
Grambling State,Rickey Ballard,7.5,1.0,SWAC
Alabama State,Trey Miller,7.3,4.0,SWAC
Bethune-Cookman,Tyler Andrews,7.3,0.9,SWAC
Alabama State,Demarien Yates,7.2,0.7,SWAC
Southern,Rondae Hill,7.2,1.8,SWAC
Alabama State,Tyler Mack,6.9,0.8,SWAC
Alcorn State,Omari Hamilton,6.9,0.4,SWAC
ArkansasâPine Bluff,Ramel Lloyd Jr.,6.9,0.8,SWAC
Jackson State,Jalen Tatum,6.8,1.8,SWAC
Prairie View A&M,Marcel Bryant,6.5,0.3,SWAC
ArkansasâPine Bluff,Jaiâchaunn Hayes,6.1,0.6,SWAC
Mississippi Valley State,Sam Murray II,6.1,0.5,SWAC
Alabama State,Cam Palesse,5.9,1.8,SWAC
Florida A&M,Anquan Boldin Jr.,5.8,0.9,SWAC
Jackson State,Tamarion Hoover,5.7,0.3,SWAC
Alabama A&M,Peyton Daniels,5.6,0.6,SWAC
Jackson State,Mike Williams,5.5,0.8,SWAC
Jackson State,Dionjahe Thomas,5.4,0.5,SWAC
Prairie View A&M,Keeshawn Mason,5.3,0.4,SWAC
Mississippi Valley State,XâZaevion Barnett,5.2,2.8,SWAC
Alabama State,R'Chaun King,5.1,0.4,SWAC
Alabama State,Jasteven Walker,5.0,0.4,SWAC
Grambling State,Nazar Mahmoud,5.0,1.5,SWAC
Grambling State,Randarius Jones,5.0,0.5,SWAC
